title,point,date,review
어벤져스: 엔드게임,9,19.04.24,"만남이 있으면 이별이 있고, 승리를 위해서는 희생이 있어야 된다는 것을 귀에 딱지 앉을 정도로 들어봤지만 아무리 듣고 봐도 적응이 안되는 건 이 영화에서도 마찬가지였다... 퇴장마저 멋진 그들을 잊지 않겠습니다. 어벤져스 어셈블..."
어벤져스: 엔드게임,10,19.04.24,Avengers assemble
어벤져스: 엔드게임,10,19.04.24,어벤져스다 그냥보면안다
어벤져스: 엔드게임,1,19.04.24,솔직히 엄복동이 더 재밌다
어벤져스: 엔드게임,10,19.04.24,꼭보세요 넘 잼나요 길어서 좀힘들긴하네요
어벤져스: 엔드게임,10,19.04.24,좋은 끝맺음이었어용 어벤져스잘마무리댄거같아용
어벤져스: 엔드게임,10,19.04.24,아이엠 아이언맨! ..
어벤져스: 엔드게임,10,19.04.24,세계가 허락한 유일한 마약이란 이런거야 뽕쟁이들아 마블 사랑해요
어벤져스: 엔드게임,10,19.04.24,"나를 위한 새드엔딩, 모두를 위한 해피엔딩, 마블 팬들을 위한 네버엔딩."
어벤져스: 엔드게임,10,19.04.24,단기 기억상실증걸리고 싶을정도로 다시 보고싶음
어벤져스: 엔드게임,10,19.04.24,I am Iron man ....
어벤져스: 엔드게임,10,19.04.24,누구한테는 해피엔딩     다만 저한테는 새드엔딩이었네요ㅠ
어벤져스: 엔드게임,10,19.04.24,앞 내용은 마블팬으로서 보면서 감동을 느끼고 마지막 30분은 눈물날뻔했고 끝나고나니 정말 끝인가하고 아쉽더라...어벤져스 어셈블 이때 ㄹㅇ 소름
어벤져스: 엔드게임,6,19.04.24,아이언맨 죽나요???
어벤져스: 엔드게임,10,19.04.24,영화는 완벽함.. 상영 이미 시작됐는데 들어오는거면 조심히 들어와라 이미 영화 시작했는데 어둡다고 지 자리찾는다고 핸드폰 불키고 들어오는건 뭐냐
어벤져스: 엔드게임,10,19.04.24,3000만큼 최고!!!
어벤져스: 엔드게임,10,19.04.24,재밌게 잘 봤습니다~시간가는 줄 모르고 봤네요^^
어벤져스: 엔드게임,10,19.04.24,말이필요하지아니 말이ㅡ필여업새
어벤져스: 엔드게임,8,19.04.24,근데 마지막에 스톤들 과거로 되돌리러 갈때 분명 캡틴은 망치 들고 갔는데 늙어서 왔을때는 흑형한테 방패만 주네. 밑장빼기냐?
어벤져스: 엔드게임,8,19.04.24,먼가 아쉽...스파이더맨 등장..울컥..
여인의 향기,10,19.04.24,삶의 한줄기 빛같은 영화
어벤져스: 엔드게임,10,19.04.24,"길게 잘봤네ㅋ 3,000만큼 사랑합니다ㅋ"
어벤져스: 엔드게임,10,19.04.24,팁)마블 영화 다시 정주행하고 보시길
어벤져스: 엔드게임,9,19.04.24,알바들 조차 양심에 질려 1점을 못 주는 상황... 너무 걸작이라 함부로 1점을 못 줌 ㅋㅋ
어벤져스: 엔드게임,10,19.04.24,"MCU, 토니 스타크로 시작해 아이언맨으로 끝나다"
어벤져스: 엔드게임,10,19.04.24,토르 걍 개그캐됐네 ㅎㅎ... 아이언맨이 다했네
어벤져스: 엔드게임,10,19.04.24,영화 영화관에서 두번 안보는데 한번도볼 예정
어벤져스: 엔드게임,9,19.04.24,개연성 있게 페이즈 1을 잘 끝낸 느낌전투신은 인피니티워보다는 좀 아쉬웠음
어벤져스: 엔드게임,10,19.04.24,미쳤음 어벤져스ㅠㅠ 사랑해 안녕ㅠㅠ
어벤져스: 엔드게임,10,19.04.24,3시간이 정말 어떻게 지나가는지도 모르게 너무재밌고 그냥 온갖 감정의 눈물이 너무재밌고 정말..걍최고에요 벅차오른다는게 이런거같아요!! 스포차단하고 빨리보러가세요!
어벤져스: 엔드게임,10,19.04.24,오늘 보기를 잘했습니다.
어벤져스: 엔드게임,10,19.04.24,볼 수 있어서 정말 영광이었습니다. 단언코 내 인생 최고의 영화
어벤져스: 엔드게임,10,19.04.24,재미있네요 마지막 이라 좀 아쉽네요
어벤져스: 엔드게임,10,19.04.24,지난 어벤져스는 이번 시리즈의 예고편 이었다!!!
어벤져스: 엔드게임,10,19.04.24,180분~~~순삭이욤~~~~ㅎㅎㅎ
어벤져스: 엔드게임,10,19.04.24,진짜 좋았어요ㅜㅠ 마지막에 쿠키영상은 없고 출연자 이름과 각자 사인 보고 나왔습니다 아직 안보신 분들 위하 스포는 자제하겠습니다 상영시간 기니까 그냥 먹을거랑 마실것 사지마세요!!!
어벤져스: 엔드게임,10,19.04.24,대박이라는 말밖에 안나오네요
어벤져스: 엔드게임,10,19.04.24,재미는 있지만 뭔가 마지막 페이지라고 하기에는 허무한 결말
